Municipios;Distritos;Secciones;Índice de Gini y Distribución de la renta P80/P20;Periodo;Total
28002 Ajalvir;;;Distribución de la renta P80/P20;2022;2,5
28002 Ajalvir;;;Distribución de la renta P80/P20;2021;2,6
28002 Ajalvir;;;Distribución de la renta P80/P20;2020;2,6
28002 Ajalvir;;;Distribución de la renta P80/P20;2019;2,6
28002 Ajalvir;;;Distribución de la renta P80/P20;2018;2,7
28002 Ajalvir;;;Distribución de la renta P80/P20;2017;2,5
28002 Ajalvir;;;Distribución de la renta P80/P20;2016;3
28002 Ajalvir;;;Distribución de la renta P80/P20;2015;2,6
28002 Ajalvir;2800201 Ajalvir distrito 01;;Índice de Gini;2023;28,3
28002 Ajalvir;2800201 Ajalvir distrito 01;;Índice de Gini;2022;29,3
28002 Ajalvir;2800201 Ajalvir distrito 01;;Índice de Gini;2021;30,1
28002 Ajalvir;2800201 Ajalvir distrito 01;;Índice de Gini;2020;30,9
28002 Ajalvir;2800201 Ajalvir distrito 01;;Índice de Gini;2019;30,7
28002 Ajalvir;2800201 Ajalvir distrito 01;;Índice de Gini;2018;30,3
28002 Ajalvir;2800201 Ajalvir distrito 01;;Índice de Gini;2017;30,7
28002 Ajalvir;2800201 Ajalvir distrito 01;;Índice de Gini;2016;32,9
28002 Ajalvir;2800201 Ajalvir distrito 01;;Índice de Gini;2015;31,7
28002 Ajalvir;2800201 Ajalvir distrito 01;;Distribución de la renta P80/P20;2023;2,4
28002 Ajalvir;2800201 Ajalvir distrito 01;;Distribución de la renta P80/P20;2022;2,5
28002 Ajalvir;2800201 Ajalvir distrito 01;;Distribución de la renta P80/P20;2021;2,6
28002 Ajalvir;2800201 Ajalvir distrito 01;;Distribución de la renta P80/P20;2020;2,6
28002 Ajalvir;2800201 Ajalvir distrito 01;;Distribución de la renta P80/P20;2019;2,6
28002 Ajalvir;2800201 Ajalvir distrito 01;;Distribución de la renta P80/P20;2018;2,7
28002 Ajalvir;2800201 Ajalvir distrito 01;;Distribución de la renta P80/P20;2017;2,5
28002 Ajalvir;2800201 Ajalvir distrito 01;;Distribución de la renta P80/P20;2016;3
28002 Ajalvir;2800201 Ajalvir distrito 01;;Distribución de la renta P80/P20;2015;2,6
28002 Ajalvir;2800201 Ajalvir distrito 01;2800201001 Ajalvir sección 01001;Índice de Gini;2023;28,6
28002 Ajalvir;2800201 Ajalvir distrito 01;2800201001 Ajalvir sección 01001;Índice de Gini;2022;30,4
28002 Ajalvir;2800201 Ajalvir distrito 01;2800201001 Ajalvir sección 01001;Índice de Gini;2021;30,7
28002 Ajalvir;2800201 Ajalvir distrito 01;2800201001 Ajalvir sección 01001;Índice de Gini;2020;31,8
28002 Ajalvir;2800201 Ajalvir distrito 01;2800201001 Ajalvir sección 01001;Índice de Gini;2019;30,9
28002 Ajalvir;2800201 Ajalvir distrito 01;2800201001 Ajalvir sección 01001;Índice de Gini;2018;30,2
28002 Ajalvir;2800201 Ajalvir distrito 01;2800201001 Ajalvir sección 01001;Índice de Gini;2017;31
28002 Ajalvir;2800201 Ajalvir distrito 01;2800201001 Ajalvir sección 01001;Índice de Gini;2016;32,4
28002 Ajalvir;2800201 Ajalvir distrito 01;2800201001 Ajalvir sección 01001;Índice de Gini;2015;32,1
28002 Ajalvir;2800201 Ajalvir distrito 01;2800201001 Ajalvir sección 01001;Distribución de la renta P80/P20;2023;2,5
28002 Ajalvir;2800201 Ajalvir distrito 01;2800201001 Ajalvir sección 01001;Distribución de la renta P80/P20;2022;2,7
28002 Ajalvir;2800201 Ajalvir distrito 01;2800201001 Ajalvir sección 01001;Distribución de la renta P80/P20;2021;2,7
28002 Ajalvir;2800201 Ajalvir distrito 01;2800201001 Ajalvir sección 01001;Distribución de la renta P80/P20;2020;2,8
28002 Ajalvir;2800201 Ajalvir distrito 01;2800201001 Ajalvir sección 01001;Distribución de la renta P80/P20;2019;2,7
28002 Ajalvir;2800201 Ajalvir distrito 01;2800201001 Ajalvir sección 01001;Distribución de la renta P80/P20;2018;2,5
28002 Ajalvir;2800201 Ajalvir distrito 01;2800201001 Ajalvir sección 01001;Distribución de la renta P80/P20;2017;2,5
28002 Ajalvir;2800201 Ajalvir distrito 01;2800201001 Ajalvir sección 01001;Distribución de la renta P80/P20;2016;2,8
28002 Ajalvir;2800201 Ajalvir distrito 01;2800201001 Ajalvir sección 01001;Distribución de la renta P80/P20;2015;2,8
28002 Ajalvir;2800201 Ajalvir distrito 01;2800201002 Ajalvir sección 01002;Índice de Gini;2023;27,8
28002 Ajalvir;2800201 Ajalvir distrito 01;2800201002 Ajalvir sección 01002;Índice de Gini;2022;28,1
28002 Ajalvir;2800201 Ajalvir distrito 01;2800201002 Ajalvir sección 01002;Índice de Gini;2021;29,3
28002 Ajalvir;2800201 Ajalvir distrito 01;2800201002 Ajalvir sección 01002;Índice de Gini;2020;29,4
28002 Ajalvir;2800201 Ajalvir distrito 01;2800201002 Ajalvir sección 01002;Índice de Gini;2019;30,3
28002 Ajalvir;2800201 Ajalvir distrito 01;2800201002 Ajalvir sección 01002;Índice de Gini;2018;30
28002 Ajalvir;2800201 Ajalvir distrito 01;2800201002 Ajalvir sección 01002;Índice de Gini;2017;30
28002 Ajalvir;2800201 Ajalvir distrito 01;2800201002 Ajalvir sección 01002;Índice de Gini;2016;32,9
28002 Ajalvir;2800201 Ajalvir distrito 01;2800201002 Ajalvir sección 01002;Índice de Gini;2015;31,1
28002 Ajalvir;2800201 Ajalvir distrito 01;2800201002 Ajalvir sección 01002;Distribución de la renta P80/P20;2023;2,3
28002 Ajalvir;2800201 Ajalvir distrito 01;2800201002 Ajalvir sección 01002;Distribución de la renta P80/P20;2022;2,3
28002 Ajalvir;2800201 Ajalvir distrito 01;2800201002 Ajalvir sección 01002;Distribución de la renta P80/P20;2021;2,4
28002 Ajalvir;2800201 Ajalvir distrito 01;2800201002 Ajalvir sección 01002;Distribución de la renta P80/P20;2020;2,4
28002 Ajalvir;2800201 Ajalvir distrito 01;2800201002 Ajalvir sección 01002;Distribución de la renta P80/P20;2019;2,5
28002 Ajalvir;2800201 Ajalvir distrito 01;2800201002 Ajalvir sección 01002;Distribución de la renta P80/P20;2018;2,7
28002 Ajalvir;2800201 Ajalvir distrito 01;2800201002 Ajalvir sección 01002;Distribución de la renta P80/P20;2017;2,6
